Step 114 | Time: 1.900s | Pos: (776.2, 713.6) | Vel: (219.0, 230.8) | Orient: -0.25 rad | AngVel: -1.15 | Speed: 318.1 | DistToTarget: 239.6 | Colliding: False | NearestObstacle: 94.1
Step 115 | Time: 1.917s | Pos: (780.1, 717.3) | Vel: (233.2, 224.4) | Orient: -0.27 rad | AngVel: -1.16 | Speed: 323.6 | DistToTarget: 236.8 | Colliding: False | NearestObstacle: 94.8
Step 116 | Time: 1.933s | Pos: (784.2, 720.0) | Vel: (247.1, 217.3) | Orient: -0.29 rad | AngVel: -1.18 | Speed: 329.0 | DistToTarget: 233.6 | Colliding: False | NearestObstacle: 94.6
Step 117 | Time: 1.950s | Pos: (788.5, 720.0) | Vel: (259.5, 211.2) | Orient: -0.31 rad | AngVel: -1.02 | Speed: 334.5 | DistToTarget: 229.5 | Colliding: False | NearestObstacle: 92.3
Step 118 | Time: 1.967s | Pos: (793.0, 720.0) | Vel: (267.9, 210.6) | Orient: -0.31 rad | AngVel: -0.47 | Speed: 340.7 | DistToTarget: 225.2 | Colliding: False | NearestObstacle: 90.0
Step 119 | Time: 1.983s | Pos: (797.5, 720.0) | Vel: (273.5, 214.2) | Orient: -0.32 rad | AngVel: -0.13 | Speed: 347.4 | DistToTarget: 220.8 | Colliding: False | NearestObstacle: 87.8
Step 120 | Time: 2.000s | Pos: (802.2, 720.0) | Vel: (277.5, 220.9) | Orient: -0.32 rad | AngVel: -0.01 | Speed: 354.7 | DistToTarget: 216.4 | Colliding: False | NearestObstacle: 85.8
Step 121 | Time: 2.017s | Pos: (806.8, 720.0) | Vel: (280.7, 229.7) | Orient: -0.32 rad | AngVel: -0.06 | Speed: 362.7 | DistToTarget: 212.0 | Colliding: False | NearestObstacle: 83.8
Step 122 | Time: 2.033s | Pos: (811.6, 720.0) | Vel: (283.8, 239.8) | Orient: -0.32 rad | AngVel: -0.19 | Speed: 371.5 | DistToTarget: 207.5 | Colliding: False | NearestObstacle: 82.1
Step 123 | Time: 2.050s | Pos: (816.4, 720.0) | Vel: (287.2, 250.3) | Orient: -0.33 rad | AngVel: -0.34 | Speed: 380.9 | DistToTarget: 202.9 | Colliding: False | NearestObstacle: 80.5
