Step 112 | Time: 1.867s | Pos: (777.6, 336.1) | Vel: (49.2, -87.0) | Orient: -0.37 rad | AngVel: 0.35 | Speed: 100.0 | DistToTarget: 186.8 | Colliding: False | NearestObstacle: 37.3
Step 113 | Time: 1.883s | Pos: (778.4, 334.7) | Vel: (48.2, -87.6) | Orient: -0.37 rad | AngVel: 0.36 | Speed: 100.0 | DistToTarget: 185.6 | Colliding: False | NearestObstacle: 37.4
Step 114 | Time: 1.900s | Pos: (779.2, 333.2) | Vel: (47.8, -87.8) | Orient: -0.36 rad | AngVel: 0.36 | Speed: 100.0 | DistToTarget: 184.3 | Colliding: False | NearestObstacle: 37.6
Step 115 | Time: 1.917s | Pos: (780.0, 331.7) | Vel: (47.8, -87.8) | Orient: -0.35 rad | AngVel: 0.37 | Speed: 100.0 | DistToTarget: 183.0 | Colliding: False | NearestObstacle: 37.8
Step 116 | Time: 1.933s | Pos: (780.8, 330.3) | Vel: (48.3, -87.5) | Orient: -0.35 rad | AngVel: 0.37 | Speed: 100.0 | DistToTarget: 181.8 | Colliding: False | NearestObstacle: 38.0
Step 117 | Time: 1.950s | Pos: (781.7, 328.8) | Vel: (49.3, -87.0) | Orient: -0.34 rad | AngVel: 0.37 | Speed: 100.0 | DistToTarget: 180.5 | Colliding: False | NearestObstacle: 38.3
Step 118 | Time: 1.967s | Pos: (782.5, 327.4) | Vel: (50.5, -86.3) | Orient: -0.34 rad | AngVel: 0.37 | Speed: 100.0 | DistToTarget: 179.2 | Colliding: False | NearestObstacle: 38.6
Step 119 | Time: 1.983s | Pos: (783.4, 326.0) | Vel: (52.1, -85.4) | Orient: -0.33 rad | AngVel: 0.36 | Speed: 100.0 | DistToTarget: 178.0 | Colliding: False | NearestObstacle: 38.8
Step 120 | Time: 2.000s | Pos: (784.3, 324.6) | Vel: (53.8, -84.3) | Orient: -0.32 rad | AngVel: 0.36 | Speed: 100.0 | DistToTarget: 176.7 | Colliding: False | NearestObstacle: 39.1
Step 121 | Time: 2.017s | Pos: (785.2, 323.2) | Vel: (55.7, -83.1) | Orient: -0.32 rad | AngVel: 0.35 | Speed: 100.0 | DistToTarget: 175.3 | Colliding: False | NearestObstacle: 39.4
