Step 107 | Time: 1.783s | Pos: (590.0, 472.2) | Vel: (6.1, 99.8) | Orient: 1.44 rad | AngVel: -0.12 | Speed: 100.0 | DistToTarget: 60.9 | Colliding: False | NearestObstacle: 97.0
Step 108 | Time: 1.800s | Pos: (590.1, 473.9) | Vel: (6.8, 99.8) | Orient: 1.43 rad | AngVel: -0.11 | Speed: 100.0 | DistToTarget: 59.2 | Colliding: False | NearestObstacle: 96.8
Step 109 | Time: 1.817s | Pos: (590.2, 475.6) | Vel: (7.6, 99.7) | Orient: 1.43 rad | AngVel: -0.11 | Speed: 100.0 | DistToTarget: 57.5 | Colliding: False | NearestObstacle: 96.6
Step 110 | Time: 1.833s | Pos: (590.4, 477.2) | Vel: (8.3, 99.7) | Orient: 1.43 rad | AngVel: -0.10 | Speed: 100.0 | DistToTarget: 55.9 | Colliding: False | NearestObstacle: 96.4
Step 111 | Time: 1.850s | Pos: (590.5, 478.9) | Vel: (8.9, 99.6) | Orient: 1.43 rad | AngVel: -0.09 | Speed: 100.0 | DistToTarget: 54.2 | Colliding: False | NearestObstacle: 96.3
Step 112 | Time: 1.867s | Pos: (590.7, 480.6) | Vel: (9.6, 99.5) | Orient: 1.43 rad | AngVel: -0.09 | Speed: 100.0 | DistToTarget: 52.5 | Colliding: False | NearestObstacle: 96.2
Step 113 | Time: 1.883s | Pos: (590.8, 482.2) | Vel: (10.2, 99.5) | Orient: 1.43 rad | AngVel: -0.08 | Speed: 100.0 | DistToTarget: 50.9 | Colliding: False | NearestObstacle: 96.2
Step 114 | Time: 1.900s | Pos: (591.0, 483.9) | Vel: (10.8, 99.4) | Orient: 1.42 rad | AngVel: -0.07 | Speed: 100.0 | DistToTarget: 49.2 | Colliding: False | NearestObstacle: 96.2
Step 115 | Time: 1.917s | Pos: (591.2, 485.5) | Vel: (11.4, 99.4) | Orient: 1.42 rad | AngVel: -0.07 | Speed: 100.0 | DistToTarget: 47.5 | Colliding: False | NearestObstacle: 96.2
Step 116 | Time: 1.933s | Pos: (591.4, 487.2) | Vel: (11.9, 99.3) | Orient: 1.42 rad | AngVel: -0.06 | Speed: 100.0 | DistToTarget: 45.9 | Colliding: False | NearestObstacle: 96.2
Step 117 | Time: 1.950s | Pos: (591.6, 488.8) | Vel: (12.4, 99.2) | Orient: 1.42 rad | AngVel: -0.05 | Speed: 100.0 | DistToTarget: 44.2 | Colliding: False | NearestObstacle: 96.3
Step 118 | Time: 1.967s | Pos: (591.8, 490.5) | Vel: (12.9, 99.2) | Orient: 1.42 rad | AngVel: -0.05 | Speed: 100.0 | DistToTarget: 42.5 | Colliding: False | NearestObstacle: 96.4
Step 119 | Time: 1.983s | Pos: (592.1, 492.1) | Vel: (13.3, 99.1) | Orient: 1.42 rad | AngVel: -0.04 | Speed: 100.0 | DistToTarget: 40.9 | Colliding: False | NearestObstacle: 96.5
Step 120 | Time: 2.000s | Pos: (592.3, 493.8) | Vel: (13.7, 99.1) | Orient: 1.42 rad | AngVel: -0.03 | Speed: 100.0 | DistToTarget: 39.2 | Colliding: False | NearestObstacle: 96.7
Step 121 | Time: 2.017s | Pos: (592.5, 495.4) | Vel: (14.1, 99.0) | Orient: 1.42 rad | AngVel: -0.03 | Speed: 100.0 | DistToTarget: 37.5 | Colliding: False | NearestObstacle: 96.8
