Step 110 | Time: 1.833s | Pos: (721.7, 169.8) | Vel: (277.8, -122.0) | Orient: 0.37 rad | AngVel: 1.33 | Speed: 303.4 | DistToTarget: 156.7 | Colliding: False | NearestObstacle: 118.9
Step 111 | Time: 1.850s | Pos: (726.4, 167.9) | Vel: (283.0, -113.8) | Orient: 0.39 rad | AngVel: 1.36 | Speed: 305.0 | DistToTarget: 153.1 | Colliding: False | NearestObstacle: 119.6
Step 112 | Time: 1.867s | Pos: (731.2, 166.1) | Vel: (287.9, -105.2) | Orient: 0.41 rad | AngVel: 1.38 | Speed: 306.5 | DistToTarget: 149.3 | Colliding: False | NearestObstacle: 120.3
Step 113 | Time: 1.883s | Pos: (736.1, 164.5) | Vel: (292.5, -96.2) | Orient: 0.44 rad | AngVel: 1.41 | Speed: 307.9 | DistToTarget: 145.6 | Colliding: False | NearestObstacle: 121.0
Step 114 | Time: 1.900s | Pos: (741.0, 163.1) | Vel: (296.7, -87.0) | Orient: 0.46 rad | AngVel: 1.44 | Speed: 309.2 | DistToTarget: 141.7 | Colliding: False | NearestObstacle: 121.7
Step 115 | Time: 1.917s | Pos: (746.0, 161.8) | Vel: (300.5, -77.5) | Orient: 0.49 rad | AngVel: 1.47 | Speed: 310.3 | DistToTarget: 137.9 | Colliding: False | NearestObstacle: 122.4
Step 116 | Time: 1.933s | Pos: (751.1, 160.6) | Vel: (303.9, -67.7) | Orient: 0.51 rad | AngVel: 1.50 | Speed: 311.4 | DistToTarget: 134.0 | Colliding: False | NearestObstacle: 123.2
Step 117 | Time: 1.950s | Pos: (756.2, 159.7) | Vel: (306.9, -57.6) | Orient: 0.54 rad | AngVel: 1.54 | Speed: 312.3 | DistToTarget: 130.0 | Colliding: False | NearestObstacle: 123.9
Step 118 | Time: 1.967s | Pos: (761.4, 158.9) | Vel: (309.5, -47.2) | Orient: 0.56 rad | AngVel: 1.57 | Speed: 313.1 | DistToTarget: 126.0 | Colliding: False | NearestObstacle: 124.7
Step 119 | Time: 1.983s | Pos: (766.6, 158.3) | Vel: (311.6, -36.6) | Orient: 0.59 rad | AngVel: 1.61 | Speed: 313.7 | DistToTarget: 122.0 | Colliding: False | NearestObstacle: 125.5
Step 120 | Time: 2.000s | Pos: (771.8, 157.8) | Vel: (313.2, -25.8) | Orient: 0.62 rad | AngVel: 1.65 | Speed: 314.3 | DistToTarget: 118.0 | Colliding: False | NearestObstacle: 126.2
Step 121 | Time: 2.017s | Pos: (777.0, 157.6) | Vel: (314.3, -14.8) | Orient: 0.65 rad | AngVel: 1.70 | Speed: 314.7 | DistToTarget: 113.9 | Colliding: False | NearestObstacle: 127.0
Step 122 | Time: 2.033s | Pos: (782.3, 157.5) | Vel: (314.9, -3.6) | Orient: 0.67 rad | AngVel: 1.75 | Speed: 315.0 | DistToTarget: 109.8 | Colliding: False | NearestObstacle: 127.7
Step 123 | Time: 2.050s | Pos: (787.5, 157.7) | Vel: (315.0, 7.8) | Orient: 0.70 rad | AngVel: 1.80 | Speed: 315.1 | DistToTarget: 105.7 | Colliding: False | NearestObstacle: 128.4
Step 124 | Time: 2.067s | Pos: (792.8, 158.0) | Vel: (314.5, 19.4) | Orient: 0.73 rad | AngVel: 1.85 | Speed: 315.1 | DistToTarget: 101.5 | Colliding: False | NearestObstacle: 129.2
