Step 97 | Time: 1.617s | Pos: (520.4, 393.3) | Vel: (-97.4, 22.6) | Orient: -2.86 rad | AngVel: 0.14 | Speed: 100.0 | DistToTarget: 354.6 | Colliding: False | NearestObstacle: 53.6
Step 98 | Time: 1.633s | Pos: (518.7, 393.7) | Vel: (-97.8, 21.1) | Orient: -2.86 rad | AngVel: 0.13 | Speed: 100.0 | DistToTarget: 353.1 | Colliding: False | NearestObstacle: 53.9
Step 99 | Time: 1.650s | Pos: (517.1, 394.0) | Vel: (-98.1, 19.6) | Orient: -2.85 rad | AngVel: 0.13 | Speed: 100.0 | DistToTarget: 351.6 | Colliding: False | NearestObstacle: 54.3
Step 100 | Time: 1.667s | Pos: (515.5, 394.3) | Vel: (-98.3, 18.1) | Orient: -2.85 rad | AngVel: 0.13 | Speed: 100.0 | DistToTarget: 350.2 | Colliding: False | NearestObstacle: 54.6
Step 101 | Time: 1.683s | Pos: (513.8, 394.6) | Vel: (-98.6, 16.7) | Orient: -2.85 rad | AngVel: 0.13 | Speed: 100.0 | DistToTarget: 348.7 | Colliding: False | NearestObstacle: 55.0
Step 102 | Time: 1.700s | Pos: (512.2, 394.8) | Vel: (-98.8, 15.3) | Orient: -2.85 rad | AngVel: 0.12 | Speed: 100.0 | DistToTarget: 347.2 | Colliding: False | NearestObstacle: 55.4
Step 103 | Time: 1.717s | Pos: (510.5, 395.1) | Vel: (-99.0, 13.9) | Orient: -2.85 rad | AngVel: 0.12 | Speed: 100.0 | DistToTarget: 345.6 | Colliding: False | NearestObstacle: 55.8
Step 104 | Time: 1.733s | Pos: (508.9, 395.3) | Vel: (-99.2, 12.6) | Orient: -2.84 rad | AngVel: 0.12 | Speed: 100.0 | DistToTarget: 344.1 | Colliding: False | NearestObstacle: 56.2
Step 105 | Time: 1.750s | Pos: (507.2, 395.5) | Vel: (-99.4, 11.3) | Orient: -2.84 rad | AngVel: 0.12 | Speed: 100.0 | DistToTarget: 342.6 | Colliding: False | NearestObstacle: 56.6
Step 106 | Time: 1.767s | Pos: (505.5, 395.6) | Vel: (-99.5, 10.0) | Orient: -2.84 rad | AngVel: 0.11 | Speed: 100.0 | DistToTarget: 341.1 | Colliding: False | NearestObstacle: 57.0
Step 107 | Time: 1.783s | Pos: (503.9, 395.8) | Vel: (-99.6, 8.7) | Orient: -2.84 rad | AngVel: 0.11 | Speed: 100.0 | DistToTarget: 339.5 | Colliding: False | NearestObstacle: 57.4
Step 108 | Time: 1.800s | Pos: (502.2, 395.9) | Vel: (-99.7, 7.5) | Orient: -2.84 rad | AngVel: 0.11 | Speed: 100.0 | DistToTarget: 338.0 | Colliding: False | NearestObstacle: 57.8
Step 109 | Time: 1.817s | Pos: (500.6, 396.0) | Vel: (-99.8, 6.2) | Orient: -2.84 rad | AngVel: 0.11 | Speed: 100.0 | DistToTarget: 336.4 | Colliding: False | NearestObstacle: 58.3
Step 110 | Time: 1.833s | Pos: (498.9, 396.1) | Vel: (-99.9, 5.0) | Orient: -2.83 rad | AngVel: 0.10 | Speed: 100.0 | DistToTarget: 334.8 | Colliding: False | NearestObstacle: 58.7
Step 111 | Time: 1.850s | Pos: (497.2, 396.2) | Vel: (-99.9, 3.8) | Orient: -2.83 rad | AngVel: 0.10 | Speed: 100.0 | DistToTarget: 333.3 | Colliding: False | NearestObstacle: 59.2
Step 112 | Time: 1.867s | Pos: (495.6, 396.2) | Vel: (-100.0, 2.7) | Orient: -2.83 rad | AngVel: 0.10 | Speed: 100.0 | DistToTarget: 331.7 | Colliding: False | NearestObstacle: 59.7
Step 113 | Time: 1.883s | Pos: (493.9, 396.2) | Vel: (-100.0, 1.5) | Orient: -2.83 rad | AngVel: 0.10 | Speed: 100.0 | DistToTarget: 330.1 | Colliding: False | NearestObstacle: 60.1
Step 114 | Time: 1.900s | Pos: (492.2, 396.2) | Vel: (-100.0, 0.4) | Orient: -2.83 rad | AngVel: 0.09 | Speed: 100.0 | DistToTarget: 328.5 | Colliding: False | NearestObstacle: 60.6
Step 115 | Time: 1.917s | Pos: (490.6, 396.2) | Vel: (-100.0, -0.7) | Orient: -2.83 rad | AngVel: 0.09 | Speed: 100.0 | DistToTarget: 327.0 | Colliding: False | NearestObstacle: 61.1
Step 116 | Time: 1.933s | Pos: (488.9, 396.2) | Vel: (-100.0, -1.8) | Orient: -2.82 rad | AngVel: 0.09 | Speed: 100.0 | DistToTarget: 325.4 | Colliding: False | NearestObstacle: 61.6
Step 117 | Time: 1.950s | Pos: (487.2, 396.1) | Vel: (-100.0, -2.9) | Orient: -2.82 rad | AngVel: 0.09 | Speed: 100.0 | DistToTarget: 323.8 | Colliding: False | NearestObstacle: 62.2
Step 118 | Time: 1.967s | Pos: (485.6, 396.1) | Vel: (-99.9, -4.0) | Orient: -2.82 rad | AngVel: 0.09 | Speed: 100.0 | DistToTarget: 322.2 | Colliding: False | NearestObstacle: 62.7
Step 119 | Time: 1.983s | Pos: (483.9, 396.0) | Vel: (-99.9, -5.0) | Orient: -2.82 rad | AngVel: 0.08 | Speed: 100.0 | DistToTarget: 320.6 | Colliding: False | NearestObstacle: 63.2
Step 120 | Time: 2.000s | Pos: (482.2, 395.9) | Vel: (-99.8, -6.1) | Orient: -2.82 rad | AngVel: 0.08 | Speed: 100.0 | DistToTarget: 319.0 | Colliding: False | NearestObstacle: 63.8
Step 121 | Time: 2.017s | Pos: (480.6, 395.8) | Vel: (-99.7, -7.1) | Orient: -2.82 rad | AngVel: 0.08 | Speed: 100.0 | DistToTarget: 317.3 | Colliding: False | NearestObstacle: 64.4
Step 122 | Time: 2.033s | Pos: (478.9, 395.6) | Vel: (-99.7, -8.1) | Orient: -2.82 rad | AngVel: 0.08 | Speed: 100.0 | DistToTarget: 315.7 | Colliding: False | NearestObstacle: 64.9
Step 123 | Time: 2.050s | Pos: (477.3, 395.5) | Vel: (-99.6, -9.2) | Orient: -2.81 rad | AngVel: 0.07 | Speed: 100.0 | DistToTarget: 314.1 | Colliding: False | NearestObstacle: 65.5
Step 124 | Time: 2.067s | Pos: (475.6, 395.3) | Vel: (-99.5, -10.2) | Orient: -2.81 rad | AngVel: 0.07 | Speed: 100.0 | DistToTarget: 312.5 | Colliding: False | NearestObstacle: 66.1
