Step 91 | Time: 1.517s | Pos: (462.2, 213.6) | Vel: (-22.4, -267.4) | Orient: -0.88 rad | AngVel: 1.37 | Speed: 268.4 | DistToTarget: 134.0 | Colliding: False | NearestObstacle: 144.3
Step 92 | Time: 1.533s | Pos: (462.0, 209.2) | Vel: (-15.7, -268.1) | Orient: -0.85 rad | AngVel: 1.40 | Speed: 268.6 | DistToTarget: 130.8 | Colliding: False | NearestObstacle: 144.7
Step 93 | Time: 1.550s | Pos: (461.8, 204.7) | Vel: (-8.9, -268.6) | Orient: -0.83 rad | AngVel: 1.44 | Speed: 268.7 | DistToTarget: 127.6 | Colliding: False | NearestObstacle: 145.0
Step 94 | Time: 1.567s | Pos: (461.8, 200.2) | Vel: (-1.9, -268.8) | Orient: -0.80 rad | AngVel: 1.47 | Speed: 268.8 | DistToTarget: 124.3 | Colliding: False | NearestObstacle: 145.4
Step 95 | Time: 1.583s | Pos: (461.9, 195.7) | Vel: (5.2, -268.7) | Orient: -0.78 rad | AngVel: 1.51 | Speed: 268.8 | DistToTarget: 121.1 | Colliding: False | NearestObstacle: 145.7
Step 96 | Time: 1.600s | Pos: (462.1, 191.3) | Vel: (12.5, -268.4) | Orient: -0.75 rad | AngVel: 1.54 | Speed: 268.7 | DistToTarget: 117.8 | Colliding: False | NearestObstacle: 146.1
Step 97 | Time: 1.617s | Pos: (462.4, 186.8) | Vel: (19.9, -267.8) | Orient: -0.73 rad | AngVel: 1.58 | Speed: 268.6 | DistToTarget: 114.6 | Colliding: False | NearestObstacle: 146.4
Step 98 | Time: 1.633s | Pos: (462.9, 182.3) | Vel: (27.4, -266.9) | Orient: -0.70 rad | AngVel: 1.62 | Speed: 268.3 | DistToTarget: 111.3 | Colliding: False | NearestObstacle: 146.7
Step 99 | Time: 1.650s | Pos: (463.5, 177.9) | Vel: (34.9, -265.8) | Orient: -0.67 rad | AngVel: 1.67 | Speed: 268.0 | DistToTarget: 108.1 | Colliding: False | NearestObstacle: 147.0
Step 100 | Time: 1.667s | Pos: (464.2, 173.5) | Vel: (42.6, -264.3) | Orient: -0.64 rad | AngVel: 1.71 | Speed: 267.7 | DistToTarget: 104.8 | Colliding: False | NearestObstacle: 147.3
Step 101 | Time: 1.683s | Pos: (465.0, 169.1) | Vel: (50.3, -262.4) | Orient: -0.61 rad | AngVel: 1.76 | Speed: 267.2 | DistToTarget: 101.6 | Colliding: False | NearestObstacle: 147.6
Step 102 | Time: 1.700s | Pos: (466.0, 164.8) | Vel: (58.0, -260.2) | Orient: -0.58 rad | AngVel: 1.82 | Speed: 266.6 | DistToTarget: 98.3 | Colliding: False | NearestObstacle: 147.9
Step 103 | Time: 1.717s | Pos: (467.1, 160.5) | Vel: (65.8, -257.7) | Orient: -0.55 rad | AngVel: 1.87 | Speed: 266.0 | DistToTarget: 95.1 | Colliding: False | NearestObstacle: 148.1
Step 104 | Time: 1.733s | Pos: (468.3, 156.3) | Vel: (73.7, -254.8) | Orient: -0.52 rad | AngVel: 1.93 | Speed: 265.2 | DistToTarget: 91.9 | Colliding: False | NearestObstacle: 148.3
Step 105 | Time: 1.750s | Pos: (469.7, 152.1) | Vel: (81.5, -251.5) | Orient: -0.49 rad | AngVel: 2.00 | Speed: 264.4 | DistToTarget: 88.7 | Colliding: False | NearestObstacle: 148.4
