Step 107 | Time: 1.783s | Pos: (815.2, 328.5) | Vel: (98.5, -17.3) | Orient: -0.18 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 124.0 | Colliding: False | NearestObstacle: 38.5
Step 108 | Time: 1.800s | Pos: (816.8, 328.2) | Vel: (98.5, -17.3) | Orient: -0.19 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 122.3 | Colliding: False | NearestObstacle: 38.5
Step 109 | Time: 1.817s | Pos: (818.5, 327.9) | Vel: (98.5, -17.3) | Orient: -0.19 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 120.7 | Colliding: False | NearestObstacle: 38.5
Step 110 | Time: 1.833s | Pos: (820.1, 327.6) | Vel: (98.5, -17.3) | Orient: -0.19 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 119.0 | Colliding: False | NearestObstacle: 38.5
Step 111 | Time: 1.850s | Pos: (821.8, 327.3) | Vel: (98.5, -17.3) | Orient: -0.19 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 117.3 | Colliding: False | NearestObstacle: 38.6
Step 112 | Time: 1.867s | Pos: (823.4, 327.0) | Vel: (98.5, -17.4) | Orient: -0.19 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 115.7 | Colliding: False | NearestObstacle: 38.8
Step 113 | Time: 1.883s | Pos: (825.0, 326.8) | Vel: (98.5, -17.4) | Orient: -0.19 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 114.0 | Colliding: False | NearestObstacle: 38.9
Step 114 | Time: 1.900s | Pos: (826.7, 326.5) | Vel: (98.5, -17.4) | Orient: -0.19 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 112.3 | Colliding: False | NearestObstacle: 39.2
Step 115 | Time: 1.917s | Pos: (828.3, 326.2) | Vel: (98.5, -17.5) | Orient: -0.19 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 110.7 | Colliding: False | NearestObstacle: 39.4
Step 116 | Time: 1.933s | Pos: (830.0, 325.9) | Vel: (98.5, -17.5) | Orient: -0.19 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 109.0 | Colliding: False | NearestObstacle: 39.7
Step 117 | Time: 1.950s | Pos: (831.6, 325.6) | Vel: (98.5, -17.5) | Orient: -0.19 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 107.3 | Colliding: False | NearestObstacle: 40.0
Step 118 | Time: 1.967s | Pos: (833.2, 325.3) | Vel: (98.4, -17.6) | Orient: -0.19 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 105.7 | Colliding: False | NearestObstacle: 40.3
Step 119 | Time: 1.983s | Pos: (834.9, 325.0) | Vel: (98.4, -17.6) | Orient: -0.19 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 104.0 | Colliding: False | NearestObstacle: 40.7
Step 120 | Time: 2.000s | Pos: (836.5, 324.7) | Vel: (98.4, -17.6) | Orient: -0.19 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 102.3 | Colliding: False | NearestObstacle: 41.1
Step 121 | Time: 2.017s | Pos: (838.2, 324.4) | Vel: (98.4, -17.7) | Orient: -0.19 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 100.7 | Colliding: False | NearestObstacle: 41.6
Step 122 | Time: 2.033s | Pos: (839.8, 324.1) | Vel: (98.4, -17.7) | Orient: -0.19 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 99.0 | Colliding: False | NearestObstacle: 42.1
Step 123 | Time: 2.050s | Pos: (841.5, 323.8) | Vel: (98.4, -17.8) | Orient: -0.19 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 97.3 | Colliding: False | NearestObstacle: 42.6
Step 124 | Time: 2.067s | Pos: (843.1, 323.5) | Vel: (98.4, -17.8) | Orient: -0.19 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 95.7 | Colliding: False | NearestObstacle: 43.1
Step 125 | Time: 2.083s | Pos: (844.7, 323.2) | Vel: (98.4, -17.8) | Orient: -0.19 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 94.0 | Colliding: False | NearestObstacle: 43.7
